u,mu,t,i,ev,obs,val_re,val_im
1.0,0.0,0.1,1,1,n̂,0.6145269062733769,0.0
1.0,0.0,0.1,2,1,â⁺,-3.2270273155652477e-8,0.0
1.0,0.0,0.1,2,1,â,-3.2270273155652477e-8,0.0
1.0,0.0,0.1,2,1,n̂,0.5972602643416247,0.0
1.0,0.0,0.1,3,1,â⁺,-1.5991764061393887e-8,0.0
1.0,0.0,0.1,3,1,â,-1.5991764061393887e-8,0.0
1.0,0.0,0.1,3,1,n̂,0.6639587735916683,0.0
1.0,0.0,0.1,4,1,â⁺,-2.975474143563414e-9,0.0
1.0,0.0,0.1,4,1,â,-2.975474143563413e-9,0.0
1.0,0.0,0.1,4,1,n̂,0.6242540196628699,0.0
1.0,0.0,0.1,5,1,â⁺,-1.0919670554511544e-10,0.0
1.0,0.0,0.1,5,1,â,-1.0919670554511709e-10,0.0
1.0,0.0,0.1,5,1,n̂,0.6242540343013097,0.0
1.0,0.0,0.1,6,1,â⁺,-7.99823568822071e-10,0.0
1.0,0.0,0.1,6,1,â,-7.998235688220727e-10,0.0
1.0,0.0,0.1,6,1,n̂,0.6639587824716567,0.0
1.0,0.0,0.1,7,1,â⁺,-2.3041955671667164e-9,0.0
1.0,0.0,0.1,7,1,â,-2.3041955671667164e-9,0.0
1.0,0.0,0.1,7,1,n̂,0.5972602749394516,0.0
1.0,0.0,0.1,8,1,â⁺,-1.373983614963886e-9,0.0
1.0,0.0,0.1,8,1,â,-1.3739836149638852e-9,0.0
1.0,0.0,0.1,8,1,n̂,0.6145269444180496,0.0
1.0,0.0,0.1125,1,1,â⁺,-5.1552189891817225e-9,0.0
1.0,0.0,0.1125,1,1,â,-5.1552189891817225e-9,0.0
1.0,0.0,0.1125,1,1,n̂,0.6020034970012478,0.0
1.0,0.0,0.1125,2,1,â⁺,-4.449630484829044e-9,0.0
1.0,0.0,0.1125,2,1,â,-4.449630484829044e-9,0.0
1.0,0.0,0.1125,2,1,n̂,0.6049649165519422,0.0
1.0,0.0,0.1125,3,1,â⁺,-2.9208289050251634e-9,0.0
1.0,0.0,0.1125,3,1,â,-2.9208289050251634e-9,0.0
1.0,0.0,0.1125,3,1,n̂,0.6645084005580437,0.0
1.0,0.0,0.1125,4,1,â⁺,1.6590196958611377e-10,0.0
1.0,0.0,0.1125,4,1,â,1.6590196958611377e-10,0.0
1.0,0.0,0.1125,4,1,n̂,0.6285231763943349,0.0
1.0,0.0,0.1125,5,1,â⁺,1.1529089693840508e-9,0.0
1.0,0.0,0.1125,5,1,â,1.1529089693840508e-9,0.0
1.0,0.0,0.1125,5,1,n̂,0.6285231797847218,0.0
1.0,0.0,0.1125,6,1,â⁺,2.321140459455338e-9,0.0
1.0,0.0,0.1125,6,1,â,2.321140459455338e-9,0.0
1.0,0.0,0.1125,6,1,n̂,0.6645084028037855,0.0
1.0,0.0,0.1125,7,1,â⁺,1.931834891071581e-9,0.0
1.0,0.0,0.1125,7,1,â,1.931834891071581e-9,0.0
1.0,0.0,0.1125,7,1,n̂,0.6049649195549225,0.0
1.0,0.0,0.1125,8,1,â⁺,2.503750030747572e-9,0.0
1.0,0.0,0.1125,8,1,â,2.503750030747572e-9,0.0
1.0,0.0,0.1125,8,1,n̂,0.6020035073509703,0.0
1.0,0.0,0.125,1,1,â⁺,1.4124066395431186e-9,0.0
1.0,0.0,0.125,1,1,â,1.4124066395431186e-9,0.0
1.0,0.0,0.125,1,1,n̂,0.5897050864142166,0.0
1.0,0.0,0.125,2,1,â⁺,1.2504158054736543e-9,0.0
1.0,0.0,0.125,2,1,â,1.2504158054736543e-9,0.0
1.0,0.0,0.125,2,1,n̂,0.6122248351032604,0.0
1.0,0.0,0.125,3,1,â⁺,1.270266412698272e-9,0.0
1.0,0.0,0.125,3,1,â,1.270266412698272e-9,0.0
1.0,0.0,0.125,3,1,n̂,0.6652851102613697,0.0
1.0,0.0,0.125,4,1,â⁺,7.185857786413591e-10,0.0
1.0,0.0,0.125,4,1,â,7.185857786413592e-10,0.0
1.0,0.0,0.125,4,1,n̂,0.632784968063149,0.0
1.0,0.0,0.125,5,1,â⁺,1.5523085790210111e-10,0.0
1.0,0.0,0.125,5,1,â,1.5523085790210122e-10,0.0
1.0,0.0,0.125,5,1,n̂,0.6327849681175087,0.0
1.0,0.0,0.125,6,1,â⁺,-1.4342111994132214e-9,0.0
1.0,0.0,0.125,6,1,â,-1.4342111994132214e-9,0.0
1.0,0.0,0.125,6,1,n̂,0.6652851103013377,0.0
1.0,0.0,0.125,7,1,â⁺,-2.4451797971285918e-9,0.0
1.0,0.0,0.125,7,1,â,-2.4451797971285918e-9,0.0
1.0,0.0,0.125,7,1,n̂,0.6122248351562416,0.0
1.0,0.0,0.125,8,1,â⁺,-2.718641695088044e-9,0.0
1.0,0.0,0.125,8,1,â,-2.718641695088044e-9,0.0
1.0,0.0,0.125,8,1,n̂,0.58970508658295,0.0
1.0,0.0,0.1375,1,1,â⁺,-3.012464868697075e-10,0.0
1.0,0.0,0.1375,1,1,â,-3.012464868697075e-10,0.0
1.0,0.0,0.1375,1,1,n̂,0.5776741773596117,0.0
1.0,0.0,0.1375,2,1,â⁺,-2.541959648748638e-10,0.0
1.0,0.0,0.1375,2,1,â,-2.541959648748638e-10,0.0
1.0,0.0,0.1375,2,1,n̂,0.6190179732474601,0.0
1.0,0.0,0.1375,3,1,â⁺,-1.6534463845068217e-10,0.0
1.0,0.0,0.1375,3,1,â,-1.6534463845068214e-10,0.0
1.0,0.0,0.1375,3,1,n̂,0.66628130028803,0.0
1.0,0.0,0.1375,4,1,â⁺,5.979308931829477e-11,0.0
1.0,0.0,0.1375,4,1,â,5.979308931829477e-11,0.0
1.0,0.0,0.1375,4,1,n̂,0.6370265490374378,0.0
1.0,0.0,0.1375,5,1,â⁺,1.1958886476823475e-10,0.0
1.0,0.0,0.1375,5,1,â,1.1958886476823475e-10,0.0
1.0,0.0,0.1375,5,1,n̂,0.6370265490585831,0.0
1.0,0.0,0.1375,6,1,â⁺,1.2514712588654878e-10,0.0
1.0,0.0,0.1375,6,1,â,1.2514712588654878e-10,0.0
1.0,0.0,0.1375,6,1,n̂,0.6662813003067878,0.0
1.0,0.0,0.1375,7,1,â⁺,1.3509424400560626e-11,0.0
1.0,0.0,0.1375,7,1,â,1.3509424400560626e-11,0.0
1.0,0.0,0.1375,7,1,n̂,0.6190179732701293,0.0
1.0,0.0,0.1375,8,1,â⁺,4.708575939161628e-11,0.0
1.0,0.0,0.1375,8,1,â,4.708575939161628e-11,0.0
1.0,0.0,0.1375,8,1,n̂,0.5776741774319957,0.0
1.0,0.0,0.15,1,1,â⁺,2.4806839738752515e-10,0.0
1.0,0.0,0.15,1,1,â,2.4806839738752515e-10,0.0
1.0,0.0,0.15,1,1,n̂,0.5659453451194962,0.0
1.0,0.0,0.15,2,1,â⁺,2.685445519502635e-10,0.0
1.0,0.0,0.15,2,1,â,2.685445519502635e-10,0.0
1.0,0.0,0.15,2,1,n̂,0.6253326291166565,0.0
1.0,0.0,0.15,3,1,â⁺,1.0285037724583145e-10,0.0
1.0,0.0,0.15,3,1,â,1.0285037724583145e-10,0.0
1.0,0.0,0.15,3,1,n̂,0.667485200019794,0.0
1.0,0.0,0.15,4,1,â⁺,6.577390178086632e-11,0.0
1.0,0.0,0.15,4,1,â,6.577390178086627e-11,0.0
1.0,0.0,0.15,4,1,n̂,0.6412368259299682,0.0
1.0,0.0,0.15,5,1,â⁺,1.098382368287522e-12,0.0
1.0,0.0,0.15,5,1,â,1.098382368287522e-12,0.0
1.0,0.0,0.15,5,1,n̂,0.6412368258756109,0.0
1.0,0.0,0.15,6,1,â⁺,-1.1389667746311144e-10,0.0
1.0,0.0,0.15,6,1,â,-1.1389667746311144e-10,0.0
1.0,0.0,0.15,6,1,n̂,0.6674851999652499,0.0
1.0,0.0,0.15,7,1,â⁺,-3.4753319048999877e-10,0.0
1.0,0.0,0.15,7,1,â,-3.4753319048999867e-10,0.0
1.0,0.0,0.15,7,1,n̂,0.6253326290522764,0.0
1.0,0.0,0.15,8,1,â⁺,-3.321830785500714e-10,0.0
1.0,0.0,0.15,8,1,â,-3.321830785500714e-10,0.0
1.0,0.0,0.15,8,1,n̂,0.5659453449209073,0.0
1.0,0.0,0.1625,1,1,â⁺,1.3512219584810846e-10,0.0
1.0,0.0,0.1625,1,1,â,1.3512219584810846e-10,0.0
1.0,0.0,0.1625,1,1,n̂,0.5545454966146848,0.0
1.0,0.0,0.1625,2,1,â⁺,1.3131321244933632e-10,0.0
1.0,0.0,0.1625,2,1,â,1.3131321244933632e-10,0.0
1.0,0.0,0.1625,2,1,n̂,0.631166155449569,0.0
1.0,0.0,0.1625,3,1,â⁺,7.379233962349705e-11,0.0
1.0,0.0,0.1625,3,1,â,7.379233962349705e-11,0.0
1.0,0.0,0.1625,3,1,n̂,0.6688819080896828,0.0
1.0,0.0,0.1625,4,1,â⁺,6.036036007075523e-11,0.0
1.0,0.0,0.1625,4,1,â,6.036036007075523e-11,0.0
1.0,0.0,0.1625,4,1,n̂,0.6454064403060171,0.0
1.0,0.0,0.1625,5,1,â⁺,1.038118499975823e-11,0.0
1.0,0.0,0.1625,5,1,â,1.038118499975823e-11,0.0
1.0,0.0,0.1625,5,1,n̂,0.6454064401800582,0.0
1.0,0.0,0.1625,6,1,â⁺,-1.0454180012780389e-10,0.0
1.0,0.0,0.1625,6,1,â,-1.0454180012780389e-10,0.0
1.0,0.0,0.1625,6,1,n̂,0.6688819079484991,0.0
1.0,0.0,0.1625,7,1,â⁺,-2.413878373834787e-10,0.0
1.0,0.0,0.1625,7,1,â,-2.4138783738347875e-10,0.0
1.0,0.0,0.1625,7,1,n̂,0.6311661552842499,0.0
1.0,0.0,0.1625,8,1,â⁺,-2.448836429468406e-10,0.0
1.0,0.0,0.1625,8,1,â,-2.448836429468406e-10,0.0
1.0,0.0,0.1625,8,1,n̂,0.5545454961272285,0.0
1.0,0.0,0.175,1,1,â⁺,-2.8452846539522894e-9,0.0
1.0,0.0,0.175,1,1,â,-2.8452846539522894e-9,0.0
1.0,0.0,0.175,1,1,n̂,0.5434944010636653,0.0
1.0,0.0,0.175,2,1,â⁺,-2.7283020403369315e-9,0.0
1.0,0.0,0.175,2,1,â,-2.7283020403369315e-9,0.0
1.0,0.0,0.175,2,1,n̂,0.63652353151229,0.0
1.0,0.0,0.175,3,1,â⁺,-1.5073019964033556e-9,0.0
1.0,0.0,0.175,3,1,â,-1.5073019964033556e-9,0.0
1.0,0.0,0.175,3,1,n̂,0.6704543817204478,0.0
1.0,0.0,0.175,4,1,â⁺,-2.1119698155267968e-10,0.0
1.0,0.0,0.175,4,1,â,-2.1119698155267968e-10,0.0
1.0,0.0,0.175,4,1,n̂,0.6495276824192784,0.0
1.0,0.0,0.175,5,1,â⁺,5.546817762250715e-10,0.0
1.0,0.0,0.175,5,1,â,5.546817762250716e-10,0.0
1.0,0.0,0.175,5,1,n̂,0.6495276832641892,0.0
1.0,0.0,0.175,6,1,â⁺,1.2545698266190209e-9,0.0
1.0,0.0,0.175,6,1,â,1.2545698266190209e-9,0.0
1.0,0.0,0.175,6,1,n̂,0.6704543827695433,0.0
1.0,0.0,0.175,7,1,â⁺,2.0329179893571094e-9,0.0
1.0,0.0,0.175,7,1,â,2.0329179893571094e-9,0.0
1.0,0.0,0.175,7,1,n̂,0.6365235327390119,0.0
1.0,0.0,0.175,8,1,â⁺,2.1721767400687567e-9,0.0
1.0,0.0,0.175,8,1,â,2.1721767400687567e-9,0.0
